lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.0,42,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.38419378669728327,440.4658335067343
0.0,42,linear_epsilon_greedy,0.6398326943105483,0.17792822919453016,0.20984959105280895,0.6398326943105483,204.7192545864619
0.0,42,linucb,0.647066952591616,0.24031086902137352,0.27246085373025,0.647066952591616,341.8234972932847
0.0,42,random,0.5116147591276917,0.1723615992389564,0.2056639478284672,0.5116147591276917,245.09026456443232
0.0,42,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.3224971670309777,52.46320379757186
0.0,42,thompson_sampling,0.6472764753427914,0.3026067379937758,0.3368585545274161,0.6472764753427914,496.2790208038194
0.0,43,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6850036129066008,731.4273224816835
0.0,43,epsilon_greedy,0.6738632572429992,0.21777444187599967,0.26264146483335454,0.6738632572429992,377.4887877819942
0.0,43,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.38419378669728327,440.4658335067343
0.0,43,linear_epsilon_greedy,0.6737104429414333,0.26969783306860656,0.32957776475552475,0.6737104429414333,264.0573175714318
0.0,43,linucb,0.6592319505377549,0.16992887717516988,0.1864086166408631,0.6592319505377549,216.7955958110261
0.0,43,random,0.505641501371806,0.1621287031467739,0.20096206796542074,0.505641501371806,233.48755510192316
0.0,43,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.3224971670309777,52.46320379757186
0.0,43,thompson_sampling,0.6449258831283603,0.18697680155348756,0.23517069252374354,0.6449258831283603,236.3262338683902
